# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, soft-dropped
RatioPlotReference=/ATLAS_2019_I1724098/d27-x01-y01
RatioPlot=1
LogY=1
LegendOnly=/ATLAS_2019_I1724098/d27-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesMass_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
XLabel=ECF2$^\text{norm}$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d ECF2}^\text{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d27-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesMass_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
Legend=1
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d27-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d27-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-02	1.697742e+01	2.163256e+00	2.245711e+00
2.100000e-02	4.200000e-02	9.093898e+00	1.387476e+00	1.073602e+00
4.200000e-02	6.300000e-02	5.573666e+00	5.546900e-01	5.215518e-01
6.300000e-02	8.400000e-02	4.107136e+00	2.595660e-01	3.136064e-01
8.400000e-02	1.050000e-01	3.045779e+00	1.337634e-01	2.799783e-01
1.050000e-01	1.260000e-01	2.296981e+00	8.082197e-02	2.594588e-01
1.260000e-01	1.470000e-01	1.767020e+00	5.909006e-02	2.117507e-01
1.470000e-01	1.680000e-01	1.387508e+00	4.826584e-02	1.911821e-01
1.680000e-01	1.890000e-01	1.059199e+00	3.565090e-02	1.574997e-01
1.890000e-01	2.100000e-01	8.091543e-01	3.016931e-02	9.737633e-02
2.100000e-01	2.310000e-01	6.031577e-01	2.660846e-02	1.051118e-01
2.310000e-01	2.590000e-01	4.125951e-01	2.194556e-02	8.316844e-02
2.590000e-01	2.940000e-01	1.634826e-01	9.931355e-03	4.960171e-02
2.940000e-01	3.500000e-01	2.832363e-02	1.780594e-03	8.391786e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
ScaledBy=2.13867145729073100e-05
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-02	1.691995e+01	1.312689e-01	1.312689e-01
2.100000e-02	4.200000e-02	9.948895e+00	1.006584e-01	1.006584e-01
4.200000e-02	6.300000e-02	5.746914e+00	7.650324e-02	7.650324e-02
6.300000e-02	8.400000e-02	4.040052e+00	6.414397e-02	6.414397e-02
8.400000e-02	1.050000e-01	2.990066e+00	5.518269e-02	5.518269e-02
1.050000e-01	1.260000e-01	2.221163e+00	4.756118e-02	4.756118e-02
1.260000e-01	1.470000e-01	1.670200e+00	4.124266e-02	4.124266e-02
1.470000e-01	1.680000e-01	1.240430e+00	3.554254e-02	3.554254e-02
1.680000e-01	1.890000e-01	9.338867e-01	3.083965e-02	3.083965e-02
1.890000e-01	2.100000e-01	7.200195e-01	2.707911e-02	2.707911e-02
2.100000e-01	2.310000e-01	5.051338e-01	2.268118e-02	2.268118e-02
2.310000e-01	2.590000e-01	3.139264e-01	1.548485e-02	1.548485e-02
2.590000e-01	2.940000e-01	1.289313e-01	8.875999e-03	8.875999e-03
2.940000e-01	3.500000e-01	1.794957e-02	2.618213e-03	2.618213e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
LineColor=blue
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
ScaledBy=2.14758182286745126e-05
Title=Mass only, pt binned
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-02	1.701600e+01	1.319150e-01	1.319150e-01
2.100000e-02	4.200000e-02	9.821610e+00	1.002205e-01	1.002205e-01
4.200000e-02	6.300000e-02	5.823014e+00	7.716834e-02	7.716834e-02
6.300000e-02	8.400000e-02	4.080405e+00	6.459767e-02	6.459767e-02
8.400000e-02	1.050000e-01	2.885941e+00	5.432615e-02	5.432615e-02
1.050000e-01	1.260000e-01	2.159854e+00	4.699778e-02	4.699778e-02
1.260000e-01	1.470000e-01	1.642389e+00	4.098295e-02	4.098295e-02
1.470000e-01	1.680000e-01	1.230258e+00	3.547017e-02	3.547017e-02
1.680000e-01	1.890000e-01	9.510719e-01	3.118688e-02	3.118688e-02
1.890000e-01	2.100000e-01	7.465405e-01	2.763070e-02	2.763070e-02
2.100000e-01	2.310000e-01	5.154195e-01	2.295861e-02	2.295861e-02
2.310000e-01	2.590000e-01	3.635550e-01	1.669863e-02	1.669863e-02
2.590000e-01	2.940000e-01	1.264005e-01	8.806742e-03	8.806742e-03
2.940000e-01	3.500000e-01	1.879134e-02	2.684477e-03	2.684477e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesMass_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
LineColor=green
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesMass_tune.yoda/ATLAS_2019_I1724098/d27-x01-y01
ScaledBy=2.09091289256889546e-05
Title=Mass only, incl. pt (pt>300)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-02	1.594172e+01	1.259870e-01	1.259870e-01
2.100000e-02	4.200000e-02	9.840233e+00	9.898309e-02	9.898309e-02
4.200000e-02	6.300000e-02	5.985986e+00	7.720156e-02	7.720156e-02
6.300000e-02	8.400000e-02	4.111133e+00	6.397923e-02	6.397923e-02
8.400000e-02	1.050000e-01	3.117451e+00	5.571321e-02	5.571321e-02
1.050000e-01	1.260000e-01	2.249225e+00	4.732327e-02	4.732327e-02
1.260000e-01	1.470000e-01	1.723510e+00	4.142525e-02	4.142525e-02
1.470000e-01	1.680000e-01	1.420825e+00	3.761219e-02	3.761219e-02
1.680000e-01	1.890000e-01	1.031517e+00	3.204768e-02	3.204768e-02
1.890000e-01	2.100000e-01	7.935514e-01	2.810903e-02	2.810903e-02
2.100000e-01	2.310000e-01	5.665376e-01	2.375050e-02	2.375050e-02
2.310000e-01	2.590000e-01	3.547084e-01	1.627514e-02	1.627514e-02
2.590000e-01	2.940000e-01	1.648834e-01	9.924815e-03	9.924815e-03
2.940000e-01	3.500000e-01	3.211045e-02	3.462558e-03	3.462558e-03
# END HISTO1D

