# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d02-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesTrack_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
XLabel=$C_2$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} C_2}$
DrawOnly=/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesTrack_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.091480e+00	3.935395e-01	3.862497e-01
1.000000e-01	1.800000e-01	2.285671e+00	3.256651e-01	2.821329e-01
1.800000e-01	2.400000e-01	1.658442e+00	2.262020e-01	1.985033e-01
2.400000e-01	3.000000e-01	1.484013e+00	1.402021e-01	1.447433e-01
3.000000e-01	3.600000e-01	1.315535e+00	8.791024e-02	9.869502e-02
3.600000e-01	4.200000e-01	1.170256e+00	5.034090e-02	1.245689e-01
4.200000e-01	4.800000e-01	9.420559e-01	3.060270e-02	1.167110e-01
4.800000e-01	5.200000e-01	7.430588e-01	2.322753e-02	1.006375e-01
5.200000e-01	5.800000e-01	5.901700e-01	1.950527e-02	9.242638e-02
5.800000e-01	6.400000e-01	4.016736e-01	2.052385e-02	5.819603e-02
6.400000e-01	7.000000e-01	2.579732e-01	1.205514e-02	5.346229e-02
7.000000e-01	7.600000e-01	1.198053e-01	7.388861e-03	3.348366e-02
7.600000e-01	8.600000e-01	1.872472e-02	2.561780e-03	4.898936e-03
8.600000e-01	1.000000e+00	5.821203e-05	2.329294e-05	4.990472e-05
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=2.07580852742143054e-05
Title=SD Obs. Calo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.893677e+00	2.450861e-02	2.450861e-02
1.000000e-01	1.800000e-01	2.383288e+00	2.486777e-02	2.486777e-02
1.800000e-01	2.400000e-01	1.775855e+00	2.478687e-02	2.478687e-02
2.400000e-01	3.000000e-01	1.541634e+00	2.309450e-02	2.309450e-02
3.000000e-01	3.600000e-01	1.343740e+00	2.156133e-02	2.156133e-02
3.600000e-01	4.200000e-01	1.181135e+00	2.021472e-02	2.021472e-02
4.200000e-01	4.800000e-01	9.610993e-01	1.823485e-02	1.823485e-02
4.800000e-01	5.200000e-01	7.659732e-01	1.993749e-02	1.993749e-02
5.200000e-01	5.800000e-01	5.618522e-01	1.394213e-02	1.394213e-02
5.800000e-01	6.400000e-01	3.975173e-01	1.172725e-02	1.172725e-02
6.400000e-01	7.000000e-01	2.473672e-01	9.251007e-03	9.251007e-03
7.000000e-01	7.600000e-01	1.176291e-01	6.379337e-03	6.379337e-03
7.600000e-01	8.600000e-01	1.639889e-02	1.845019e-03	1.845019e-03
8.600000e-01	1.000000e+00	1.482721e-04	1.482720e-04	1.482720e-04
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesTrack_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=blue
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesTrack_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=2.12354802403856352e-05
Title=SD Obs. Track
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.839821e+00	2.455707e-02	2.455707e-02
1.000000e-01	1.800000e-01	2.414474e+00	2.531613e-02	2.531613e-02
1.800000e-01	2.400000e-01	1.810678e+00	2.531489e-02	2.531489e-02
2.400000e-01	3.000000e-01	1.543111e+00	2.336975e-02	2.336975e-02
3.000000e-01	3.600000e-01	1.370042e+00	2.202026e-02	2.202026e-02
3.600000e-01	4.200000e-01	1.189187e+00	2.051542e-02	2.051542e-02
4.200000e-01	4.800000e-01	9.524113e-01	1.835979e-02	1.835979e-02
4.800000e-01	5.200000e-01	7.289077e-01	1.967149e-02	1.967149e-02
5.200000e-01	5.800000e-01	5.588470e-01	1.406377e-02	1.406377e-02
5.800000e-01	6.400000e-01	4.112605e-01	1.206463e-02	1.206463e-02
6.400000e-01	7.000000e-01	2.388992e-01	9.195233e-03	9.195233e-03
7.000000e-01	7.600000e-01	1.213962e-01	6.554776e-03	6.554776e-03
7.600000e-01	8.600000e-01	1.911193e-02	2.014575e-03	2.014575e-03
8.600000e-01	1.000000e+00	3.033640e-04	2.145107e-04	2.145107e-04
# END HISTO1D

